Type,ID,PostalCode,Prefecture,City,Date,,,,
4G,RNJ0101001825,950406,北海道,士別市,2024/4/25,,,,
4G,RNJ0101002411,920222,北海道,網走郡津別町,2024/4/25,,,,
4G,RNI0201002053,340301,青森県,十和田市,2024/4/25,,期間,2024/4/16～4/30,
4G,RNI0201002292,340211,青森県,十和田市,2024/4/25,,都道府県,40,
4G,RNI0301002430,200585,岩手県,岩手郡雫石町,2024/4/25,,市区町村,102,
4G,RNI0401002023,9810214,宮城県,宮城郡松島町,2024/4/25,,,,
4G,RNI0501002182,160152,秋田県,能代市,2024/4/25,,,,
4G,RNI0601002128,9997461,山形県,鶴岡市,2024/4/25,,,,
4G,RNI0601002229,9997124,山形県,鶴岡市,2024/4/25,,,,
4G,RNI0701002247,9600701,福島県,伊達市,2024/4/25,,,,
4G,RNA0801002232,3100903,茨城県,水戸市,2024/4/19,,,,
5G,REA1102600688,3530004,埼玉県,志木市,2024/4/18,,,,
4G,RNA1201002067,2900531,千葉県,市原市,2024/4/26,,,,
4G,RNA1201001534,2780005,千葉県,野田市,2024/4/25,,,,
4G,RAA1321700007,1570066,東京都,世田谷区,2024/4/24,,,,
4G,RNA1301003233,1650022,東京都,中野区,2024/4/25,,,,
4G,RNA1301002620,1150043,東京都,北区,2024/4/26,,,,
5G,REA1302602712,1020083,東京都,千代田区,2024/4/22,,,,
4G,RNA1301002766,1740071,東京都,板橋区,2024/4/26,,,,
4G,RNA1301002275,1350063,東京都,江東区,2024/4/26,,,,
4G,RNA1301001643,1350042,東京都,江東区,2024/4/18,,,,
4G,RNA1301002810,1790084,東京都,練馬区,2024/4/26,,,,
5G,REA1402601928,2430301,神奈川県,愛甲郡愛川町,2024/4/23,,,,
4G,RNA1401002508,2400023,神奈川県,横浜市保土ケ谷区,2024/4/26,,,,
5G,REA1402600742,2470064,神奈川県,鎌倉市,2024/4/19,,,,
5G,REB1502600121,9503375,新潟県,新潟市北区,2024/4/23,,,,
4G,RND1601002058,9392406,富山県,富山市,2024/4/23,,,,
5G,RED1702602184,9272271,石川県,輪島市,2024/4/23,,,,
4G,RND17B1000003,9200137,石川県,金沢市,2024/4/24,,,,
4G,RND17B1000009,9200152,石川県,金沢市,2024/4/23,,,,
4G,RND1801002022,9110844,福井県,勝山市,2024/4/25,,,,
4G,RNB2001000199,3814104,長野県,長野市,2024/4/26,,,,
5G,REC2102600017,5030012,岐阜県,大垣市,2024/4/24,,,,
4G,RNC2101002040,5060201,岐阜県,高山市,2024/4/25,,,,
4G,RNC2201002022,4190317,静岡県,富士宮市,2024/4/23,,,,
4G,RNC2201001006,4120044,静岡県,御殿場市,2024/4/18,,,,
4G,RNC2201002070,4100001,静岡県,沼津市,2024/4/24,,,,
4G,RNC2301002429,4520809,愛知県,名古屋市西区,2024/4/16,,,,
5G,REC2302600148,4820031,愛知県,岩倉市,2024/4/18,,,,
5G,REC2302602366,4960036,愛知県,津島市,2024/4/24,,,,
4G,RNC2301001569,4890935,愛知県,瀬戸市,2024/4/23,,,,
4G,RNC2301002313,4700544,愛知県,豊田市,2024/4/23,,,,
4G,RNC23B1000004,4442225,愛知県,豊田市,2024/4/16,,,,
5G,REC2402600231,5100071,三重県,四日市市,2024/4/25,,,,
4G,RNC2401002221,5193923,三重県,尾鷲市,2024/4/25,,,,
4G,RNC2401002188,5192802,三重県,度会郡大紀町,2024/4/24,,,,
5G,REC2402600664,5170506,三重県,志摩市,2024/4/25,,,,
5G,REC2402600383,5150031,三重県,松阪市,2024/4/25,,,,
4G,RNC2401002189,5153421,三重県,津市,2024/4/25,,,,
4G,RNC2401002209,5170035,三重県,鳥羽市,2024/4/17,,,,
4G,RNC2401002216,5170021,三重県,鳥羽市,2024/4/16,,,,
5G,REE2502600449,5290721,滋賀県,長浜市,2024/4/25,,,,
4G,RNE25B1000009,5290534,滋賀県,長浜市,2024/4/17,,,,
4G,RAE2621700019,6048036,京都府,京都市中京区,2024/4/22,,,,
4G,RAE2621700020,6048036,京都府,京都市中京区,2024/4/22,,,,
4G,RNE26B1000018,6260037,京都府,宮津市,2024/4/26,,,,
4G,RNE26B1000004,6230006,京都府,綾部市,2024/4/17,,,,
4G,RNE26B1000014,6230346,京都府,綾部市,2024/4/17,,,,
4G,RNE2701002645,5410057,大阪府,大阪市中央区,2024/4/17,,,,
5G,REE2702602484,5300011,大阪府,大阪市北区,2024/4/26,,,,
5G,NEE2702600769,5350011,大阪府,大阪市旭区,2024/4/26,,,,
5G,NEE2702600613,5330013,大阪府,大阪市東淀川区,2024/4/23,,,,
4G,RNE2701002719,5540031,大阪府,大阪市此花区,2024/4/20,,,,
5G,REE2702602710,5780943,大阪府,東大阪市,2024/4/24,,,,
5G,REE2702600277,5670046,大阪府,茨木市,2024/4/24,,,,
4G,RNE2801001672,6540053,兵庫県,神戸市須磨区,2024/4/22,,,,
4G,RNF3101002085,6820641,鳥取県,倉吉市,2024/4/17,,,,
4G,RNF3101002066,6800721,鳥取県,八頭郡若桜町,2024/4/25,,,,
4G,RNF3101002077,6894435,鳥取県,日野郡江府町,2024/4/23,,,,
4G,RNF3101002089,6820154,鳥取県,東伯郡三朝町,2024/4/22,,,,
4G,RNF3201002113,6910073,島根県,出雲市,2024/4/24,,,,
4G,RNF3201002266,6930215,島根県,出雲市,2024/4/19,,,,
4G,RNF3201002290,6920733,島根県,安来市,2024/4/22,,,,
5G,REF3202600317,6971122,島根県,浜田市,2024/4/20,,,,
4G,RNF3201002087,6903314,島根県,飯石郡飯南町,2024/4/19,,,,
4G,RNF3301002118,7010205,岡山県,岡山市南区,2024/4/23,,,,
4G,RNF3301002301,7193702,岡山県,新見市,2024/4/19,,,,
4G,RNF3301002421,7192641,岡山県,新見市,2024/4/18,,,,
4G,RNF3301002089,7094236,岡山県,美作市,2024/4/25,,,,
4G,RNF3301002359,7070012,岡山県,美作市,2024/4/23,,,,
4G,RNF3301002323,7070401,岡山県,美作市,2024/4/22,,,,
4G,RNF3301002373,7012624,岡山県,美作市,2024/4/19,,,,
4G,RNF3301002520,7070506,岡山県,英田郡西粟倉村,2024/4/24,,,,
4G,RNF3301002237,7070504,岡山県,英田郡西粟倉村,2024/4/22,,,,
4G,RNF3301002262,7192402,岡山県,高梁市,2024/4/26,,,,
4G,RNF33B1000021,7161321,岡山県,高梁市,2024/4/17,,,,
4G,RNF3401002337,7296331,広島県,三次市,2024/4/23,,,,
4G,RNF3401002281,7313501,広島県,山県郡安芸太田町,2024/4/26,,,,
4G,RNF34B1000037,7313701,広島県,山県郡安芸太田町,2024/4/26,,,,
4G,RNF3401002435,7200411,広島県,福山市,2024/4/25,,,,
4G,RNF3501002262,7401231,山口県,岩国市,2024/4/22,,,,
4G,RNF3501002180,7540121,山口県,美祢市,2024/4/22,,,,
4G,RNF3501002126,7593802,山口県,長門市,2024/4/25,,,,
4G,RNF3501000614,7594622,山口県,長門市,2024/4/16,,,,
4G,RNG3601002029,7790303,徳島県,鳴門市,2024/4/24,,,,
4G,RNG3801002129,7993312,愛媛県,伊予市,2024/4/19,,,,
4G,RNG3801002244,7913201,愛媛県,伊予市,2024/4/17,,,,
4G,RNG3801002080,7950309,愛媛県,喜多郡内子町,2024/4/23,,,,
4G,RNG3801002303,7993463,愛媛県,大洲市,2024/4/19,,,,
4G,RNG3801002303,7993462,愛媛県,大洲市,2024/4/19,,,,
4G,RNG3801002303,7993461,愛媛県,大洲市,2024/4/19,,,,
4G,RNG3801002143,7993743,愛媛県,宇和島市,2024/4/25,,,,
4G,RNG3801002042,7983302,愛媛県,宇和島市,2024/4/24,,,,
4G,RNG3801002363,7983312,愛媛県,宇和島市,2024/4/24,,,,
4G,RNG3801002205,7983334,愛媛県,宇和島市,2024/4/19,,,,
4G,RNG3901000417,7813331,高知県,土佐郡土佐町,2024/4/24,,,,
4G,RNG3901002242,7880353,高知県,幡多郡大月町,2024/4/23,,,,
4G,RNG3901002196,7891303,高知県,高岡郡中土佐町,2024/4/26,,,,
4G,RNG3901000469,7813102,高知県,高知市,2024/4/18,,,,
5G,REH4002600318,8301114,福岡県,久留米市,2024/4/24,,,,
5G,REH4002601658,8340023,福岡県,八女市,2024/4/24,,,,
5G,REH4002600270,8200073,福岡県,飯塚市,2024/4/24,,,,
5G,REH4202602087,8596142,長崎県,佐世保市,2024/4/24,,,,
5G,REH4202600320,8591401,長崎県,島原市,2024/4/24,,,,
5G,REH4202600412,8595707,長崎県,平戸市,2024/4/24,,,,
4G,RNH4201002133,8590114,長崎県,諫早市,2024/4/19,,,,
5G,REH4302600683,8611102,熊本県,合志市,2024/4/24,,,,
5G,REH4302600221,8691235,熊本県,菊池郡大津町,2024/4/24,,,,
5G,REH4302602507,8692402,熊本県,阿蘇郡南小国町,2024/4/24,,,,
4G,RNH4401000368,8791137,大分県,宇佐市,2024/4/26,,,,
4G,RNH4401002328,8771371,大分県,日田市,2024/4/19,,,,
4G,RNH4401002328,8771372,大分県,日田市,2024/4/19,,,,
4G,RNH4401002328,8771373,大分県,日田市,2024/4/19,,,,
4G,RNH4401002328,8771374,大分県,日田市,2024/4/19,,,,
4G,RNH4401002328,8771375,大分県,日田市,2024/4/19,,,,
4G,RNH4401002016,8780205,大分県,竹田市,2024/4/22,,,,
4G,RNH4401000294,8790627,大分県,豊後高田市,2024/4/19,,,,
5G,REH4502600349,8840002,宮崎県,児湯郡高鍋町,2024/4/24,,,,
5G,REH4602600278,8910704,鹿児島県,南九州市,2024/4/24,,,,
5G,REH4602600480,8912101,鹿児島県,垂水市,2024/4/24,,,,
4G,RNH4601002009,8993303,鹿児島県,日置市,2024/4/19,,,,
5G,REH4602600525,8998606,鹿児島県,曽於市,2024/4/24,,,,
4G,RNH4601000806,8914403,鹿児島県,熊毛郡屋久島町,2024/4/26,,,,
5G,REO4702602077,9012223,沖縄県,宜野湾市,2024/4/25,,,,