type,note,text
iPhone,※,楽天ポイントは、Rakuten Link利用の翌々月末日頃に期間限定ポイントで付与されます。
iPhone,※,楽天モバイルを初めてお申し込み、Rakuten Linkアプリのご利用など、諸条件があります。必ず各キャンペーン詳細をご確認ください。
iPhone,※1,"現金販売価格と割賦販売価格（総額）は上記製品価格と同額。支払回数48回、支払期間48カ月、実質年率0％。楽天カードのみ。25カ月目以降、機種変更及び解約が可能となり、弊社指定条件を満たし製品をご返却いただいた場合、残りのお支払いは不要です。<p class=""pink_text"">機種変更の際には、事務手数料3,300円をご請求させていただきます。ご返却いただいた旧製品が当社指定状態基準を満たさない場合、当社指定の故障費用を請求、または返却いただけない場合がございます。</p>"
iPhone,※2,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/iphone-point/?l-id=chat-byod_recommend-iphone_campaign-rule1113#campaign-rule1113"">「【Rakuten UN-LIMIT VIお申し込み特典】だれでも5,000ポイントプレゼントキャンペーン」</a>と <a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/iphone-point/?l-id=chat-byod_recommend-iphone_campaign-rule1383#campaign-rule1383"">「iPhoneアップグレードプログラム適用で5,000ポイント還元キャンペーン」</a> 適用時。"
iPhone,※3,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/iphone-point/?l-id=chat-byod_recommend-iphone_campaign-rule1382#campaign-rule1382"">「iPhone 13 全機種 ポイント還元キャンペーン」</a> 適用時。他社から乗り換え（MNP）の場合、20,000ポイント、新規／プラン変更（移行） の場合10,000ポイント。"
iPhone,※4,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/iphone-point/?l-id=chat-byod_recommend-iphone_campaign-rule1262#campaign-rule1262"">「他社から乗り換え（MNP）の方限定！通常のRakuten UN-LIMIT VIお申し込み特典に加えて、さらに15,000ポイントプレゼントキャンペーン」</a> 適用時。"
Android,,「実質価格」とは、キャンペーンの条件達成により後日付与されるポイントを加味した価格であり、実際のお支払い金額とは異なります。詳しくは下部のキャンペーンについてをご確認ください。
Android,※,楽天ポイントは、Rakuten Link利用の翌々月末日頃に期間限定ポイントで付与されます。
Android,※,楽天モバイルを初めてお申し込み、MNPお申し込み、対象製品のご購入、Rakuten Linkアプリのご利用など、諸条件があります。必ず各キャンペーン詳細をご確認ください。
Android,※1,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-android_campaign_start-point_5000"">「【Rakuten UN-LIMIT VIお申し込み特典】だれでも5,000ポイントプレゼント」</a>適用時。"
Android,※2,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-android_campaign_start-point_product"">「Rakuten UN-LIMIT VI＋製品購入でポイント還元キャンペーン」</a>適用時。"
Android,※3,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-android_campaign_start-point_15000"">「他社から乗り換え（MNP）の方限定！通常のRakuten UN-LIMIT VIお申し込み特典に加えて、さらに15,000ポイントプレゼントキャンペーン」</a>適用時。"
Rakuten,,「実質価格」とは、キャンペーンの条件達成により後日付与されるポイントを加味した価格であり、実際のお支払い金額とは異なります。詳しくは下部のキャンペーンについてをご確認ください。
Rakuten,※,楽天ポイントは、Rakuten Link利用の翌々月末日頃に期間限定ポイントで付与されます。
Rakuten,※,楽天モバイルを初めてお申し込み、MNPお申し込み、対象製品のご購入、Rakuten Linkアプリのご利用など、諸条件があります。必ず各キャンペーン詳細をご確認ください。
Rakuten,※1,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-rakuten_campaign_start-point_5000"">「【Rakuten UN-LIMIT VIお申し込み特典】だれでも5,000ポイントプレゼント」</a>適用時。"
Rakuten,※2,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-rakuten_campaign_start-point_product"">「Rakuten UN-LIMIT VI＋製品購入でポイント還元キャンペーン」</a>適用時。"
Rakuten,※3,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/rakuten-hand/?l-id=?l-id=chat-byod_recommend-rakuten_campaign_rakuten-hand"">「Rakuten Hand15,000ポイントプレゼントキャンペーン」</a>適用時。"
Rakuten,※4,"<a  class=""link_text"" href =""https://network.mobile.rakuten.co.jp/campaign/start-point/?l-id=chat-byod_recommend-rakuten_campaign_start-point_15000"">「他社から乗り換え（MNP）の方限定！通常のRakuten UN-LIMIT VIお申し込み特典に加えて、さらに15,000ポイントプレゼントキャンペーン」</a>適用時。"