update-page,rank-last-month,rank-this-month,product,manufacturer,ranking-iphone-note1,ranking-iphone-note2,ranking-note1,ranking-note2,ranking-note3,ranking-discount-note,feature1,feature2,feature3,note,ranking-payment48-text,ranking-payment48-note,ranking-pointback-text1,ranking-pointback-text2,ranking-pointback-text3
2024/5/22,9,9,iPhone 13,Apple,※1,※2,,,,,一段と高速になる5G。ゲームなど様々なことが楽しめる,パワーアップしたバッテリー,暗いエリアのディテールをはっきりととらえる超広角カメラ,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,8,4,iPhone SE（第3世代）,Apple,※1,※2,,,,,5G携帯電話通信,4.7インチRetina HDディスプレイ,超高速のパフォーマンスを発揮するA15 Bionicチップ,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,14,14,iPhone 14 Plus,Apple,※1,※2,,,,,これまで以上に長時間使えるバッテリー,暗い場所でも感動的な写真を撮影できる機能,頑丈で美しいCeramic Shield,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,5,5,iPhone 14,Apple,※1,※2,,,,,これまで以上に長時間使えるバッテリー,暗い場所でも感動的な写真を撮影できる機能,頑丈で美しいCeramic Shield,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,11,10,iPhone 15 Pro Max,Apple,※1,※2,,,,,チタニウムデザイン ,先進的なディスプレイ,A17 Pro。Proという名のチップ,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,6,6,iPhone 15 Pro,Apple,※1,※2,,,,,チタニウムデザイン ,先進的なディスプレイ,A17 Pro。Proという名のチップ,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,12,11,iPhone 15 Plus,Apple,※1,※2,,,,,イノベーションが息づくデザイン ,2倍望遠に対応した48MPメインカメラ,パワフルなA16 Bionicチップ,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,1,1,iPhone 15,Apple,※1,※2,,,,,イノベーションが息づくデザイン ,2倍望遠に対応した48MPメインカメラ,パワフルなA16 Bionicチップ,48回払いは楽天カードのみ。現金販売価格と割賦販売価格（総額）は一括払いと同額。支払回数48回、支払期間48カ月、実質年率0％。,楽天モバイル買い替え超トクプログラム,※1,さらにキャンペーンで,最大,円相当おトク
,15,13,Galaxy S23,Samsung,,"※3,4",,,,,感動をシェアするナイトグラフィー,大容量バッテリー,高性能が詰まった手になじむサイズ感,48回払いは楽天カードのみ。,,,さらにキャンペーンで,最大,ポイント還元
,2,3,OPPO Reno9 A,OPPO,,,,,,※5,ガラスの質感が美しいデザイン,サクサクがすごい8GB RAM,スリムなのに頼もしいバッテリー,48回払いは楽天カードのみ。,,,,,
,7,7,Xperia 10 V,Sony,,,,,,※5,”聴く”も”観る”もリッチにたのしむ,いつでもお手軽ベストショット,バテない、バッテリー,48回払いは楽天カードのみ。,,,,,
,4,2,AQUOS wish3,SHARP,,,,,,※5,コンパクトで使いやすい、心地よい手触りとニュアンスカラー,家族みんなが使いやすい。スマホデビューにもぴったりな機能満載,落としても安心の丈夫さと防水対応。電池の劣化を抑えて長く使える,48回払いは楽天カードのみ。,,,,,
,16,15,Xperia 5 V,Sony,,"※3,4",,,,,いい音で感動。もっと頑張れる,大切な思い出をありのままに残すからシェアしたくなる,いつでもサクサク・快適。 バテない、バッテリー,48回払いは楽天カードのみ。,,,さらにキャンペーンで,最大,ポイント還元
,10,8,AQUOS sense8,SHARP,,,,,,※5,片手で素早くブレずに撮れる。,電池残量を気にせず、やりたいことを余裕で楽しめる。,なめらか表示のディスプレイ搭載で見やすいから快適に映像が楽しめる。,48回払いは楽天カードのみ。,,,,,
,13,12,OPPO A79 5G,OPPO,,"※3,4",,,,,うれしい大画面と立体ステレオサウンド,頼れる急速充電と大容量バッテリー,スリムボディに便利機能をもれなく搭載,48回払いは楽天カードのみ。,,,さらにキャンペーンで,最大,ポイント還元