shopID,ショップ名,フラグ,オープン日,掲載開始日時,掲載終了日時
8476,楽天モバイル イオンモール豊川店,オープン,2023/3/30,2023/3/23 10:00:00,2023/4/6 00:00:00
8475,ケーズデンキ 姫路リバーシティー店,オープン,2023/3/24,2023/3/23 10:00:00,2023/4/6 00:00:00
8486,ピーシーデポ スマートライフ調布店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8485,ピーシーデポ スマートライフ平和台店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8484,ピーシーデポ スマートライフ世田谷砧店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8483,OSAKA MOBILEなんば,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8482,NAGOYA MOBILE伏見,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8481,楽天モバイル 柏高島屋ステーションモール店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8480,楽天モバイル ヤエチカ店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8479,楽天モバイル 大宮マルイ店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8478,楽天モバイル 立川フロム中武店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8477,楽天モバイル ららぽーとTOKYO-BAY店,オープン,2023/4/1,2023/3/27 10:00:00,2023/4/10 00:00:00
8487,楽天モバイル ららぽーと門真店,オープン,2023/4/12,2023/4/5 10:00:00,2023/4/24 00:00:00
8488,Tecc LIFE SELECT 前橋吉岡店,オープン,2023/4/14,2023/4/5 10:00:00,2023/4/24 00:00:00